file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\theme\endpoint\PublicUserEndpointTest.java,run.halo.app.theme.endpoint.PublicUserEndpointTest,class,14,14,0,14,2,1,0,33,0,0.41666666,1.0,1.0,2,0,0,0,0,2,2,0,0,0,6,0,0,5,0,1,0,0,0,27,0,0,0,0,0,14,0,2,0,7,0,0,0,0,37,0,0
C:\Users\USER\Downloads\halo-main\halo-main\api\src\main\java\run\halo\app\core\extension\content\Category.java,run.halo.app.core.extension.content.Category$CategoryStatus,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,9,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\theme\finders\MenuFinder.java,run.halo.app.theme.finders.MenuFinder,interface,2,4,2,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\infra\utils\DataBufferUtils.java,run.halo.app.infra.utils.DataBufferUtils,class,3,3,0,3,4,1,0,8,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,1,0,1,0,2,0,3,2,0,0,2,21,17,1
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\core\extension\RoleBindingTest.java,run.halo.app.core.extension.RoleBindingTest,class,4,4,0,4,2,1,0,12,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,10,0,5,0,5,0,0,0,0,20,0,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\content\comment\CommentQuery.java,run.halo.app.content.comment.CommentQuery,class,16,21,5,16,36,2,0,59,89,0.89285713,0.012820513,0.012820513,14,0,12,1,0,1,13,0,0,0,2,1,0,1,0,1,2,0,18,146,20,0,12,0,1,27,1,45,1,45,3,0,0,13,104,1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\theme\ThemeConfiguration.java,run.halo.app.theme.ThemeConfiguration,class,13,14,1,13,8,1,0,28,8,0.6,0.1,0.1,5,0,2,0,0,3,5,0,0,0,1,0,0,1,0,0,1,0,1,42,8,0,0,1,0,6,0,10,0,10,3,0,0,2,51,1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\content\comment\PostCommentSubjectTest.java,run.halo.app.content.comment.PostCommentSubjectTest,class,11,11,0,11,2,1,0,20,0,0.25,1.0,1.0,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,2,22,0,0,0,0,0,5,0,4,0,5,0,0,0,0,20,0,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\content\comment\ReplyServiceImpl.java,run.halo.app.content.comment.ReplyServiceImpl,class,24,25,1,24,18,1,0,72,22,0.7916667,0.16666667,0.16666667,8,0,2,4,0,2,4,0,0,0,3,0,0,3,0,0,3,0,4,81,14,0,7,0,0,3,1,7,1,21,2,0,0,12,57,1,0
C:\Users\USER\Downloads\halo-main\halo-main\api\src\main\java\run\halo\app\infra\SystemSetting.java,run.halo.app.infra.SystemSetting$Menu,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,7,9,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\extension\router\ExtensionCompositeRouterFunction.java,run.halo.app.extension.router.ExtensionCompositeRouterFunction,class,16,19,3,16,8,1,0,15,4,0.5,0.16666667,0.16666667,5,0,4,1,0,0,4,0,0,0,2,0,0,2,0,0,2,0,1,30,2,0,1,0,0,0,0,4,0,6,1,0,0,2,30,1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\core\extension\reconciler\CategoryReconcilerTest.java,run.halo.app.core.extension.reconciler.CategoryReconcilerTest,class,15,16,1,15,8,1,0,44,8,0.75,1.0,1.0,8,0,0,4,0,4,4,0,0,0,3,0,0,3,0,0,0,0,13,82,3,0,0,0,0,20,20,16,0,20,1,0,0,1,42,0,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\config\WebServerSecurityConfig.java,run.halo.app.config.WebServerSecurityConfig,class,32,33,1,32,10,1,0,39,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1,46,9,0,0,0,0,12,1,3,1,8,2,0,0,5,78,1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\theme\ThemePathPolicy.java,run.halo.app.theme.ThemePathPolicy,class,2,4,2,2,3,1,0,5,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,1,1,1,0,0,2,0,0,16,2,0,0,0,0,3,0,3,0,3,0,0,0,0,31,1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\security\authentication\SecurityConfigurer.java,run.halo.app.security.authentication.SecurityConfigurer,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\USER\Downloads\halo-main\halo-main\api\src\main\java\run\halo\app\core\extension\content\Category.java,run.halo.app.core.extension.content.Category$CategorySpec,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,9,0,0,0,0,0,1,2,0,0,7,0,0,0,0,12,9,0
C:\Users\USER\Downloads\halo-main\halo-main\api\src\main\java\run\halo\app\core\extension\content\Post.java,run.halo.app.core.extension.content.Post$CompactPost,innerclass,3,3,0,3,1,1,0,0,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,3,0,0,1,0,10,9,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\infra\ExtensionResourceInitializerTest.java,run.halo.app.infra.ExtensionResourceInitializerTest,class,14,14,0,14,5,1,0,28,0,0.6111111,0.6666667,1.0,3,0,0,0,0,3,3,0,0,0,6,0,0,0,0,6,0,0,8,42,0,1,1,0,0,14,3,8,3,13,2,0,0,0,57,0,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\theme\finders\impl\CategoryFinderImplTest.java,run.halo.app.theme.finders.impl.CategoryFinderImplTest$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\core\extension\reconciler\ThemeReconcilerTest.java,run.halo.app.core.extension.reconciler.ThemeReconcilerTest,class,24,25,1,24,12,1,0,73,0,0.42222223,1.0,1.0,9,1,0,2,0,7,7,0,0,0,5,0,0,5,0,0,0,0,16,170,7,0,0,0,0,30,26,40,0,46,2,0,0,4,76,0,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\core\extension\reconciler\SystemSettingReconcilerTest.java,run.halo.app.core.extension.reconciler.SystemSettingReconcilerTest,class,16,17,1,16,9,1,0,43,16,0.44444445,0.6666667,0.6666667,9,0,0,3,0,6,6,0,0,0,4,0,0,4,0,0,0,0,8,109,7,0,0,0,0,22,8,23,0,30,1,0,0,4,59,0,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\core\extension\endpoint\UserEndpointTest.java,run.halo.app.core.extension.endpoint.UserEndpointTest,class,15,15,0,15,2,1,0,27,0,0.5,1.0,1.0,2,0,0,0,0,2,2,0,0,0,5,0,0,0,0,5,0,0,3,190,0,0,0,0,0,15,0,5,0,8,0,0,5,0,28,0,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\infra\utils\FileNameUtilsTest.java,run.halo.app.infra.utils.FileNameUtilsTest$RemoveFileExtensionTest,innerclass,2,2,0,2,7,1,0,3,21,0.0,0.0,0.0,7,0,6,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,24,0,0,0,0,0,0,0,0,21,0,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\extension\FakeExtension.java,run.halo.app.extension.FakeExtension,class,4,31,25,6,1,2,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,5,0,2,0,2,0,0,0,0,10,1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\theme\finders\vo\PostVo.java,run.halo.app.theme.finders.vo.PostVo,class,9,19,10,9,2,2,0,23,0,0.0,1.0,1.0,2,2,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,3,12,2,0,0,0,0,3,0,2,0,3,0,0,0,0,23,1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\core\extension\reconciler\PluginReconciler.java,run.halo.app.core.extension.reconciler.PluginReconciler$DoNotRetryException,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
